file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0147_0247_1878848_to_1883472,ཡིན་པ་ཡིན་ན་ཡང་གྲོས་ཚོགས་ཀི་ཉམས་མྱོང་དང་འཛིན་སྐྱོང་གི་ཉམས་མྱོང་ཁ་ཁ་རེད་ཟེ།  ,yin pa yin na yang gros tshogs ki nyams myong dang 'dzin skyong gi nyams myong kha kha red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0147_0247_1878848_to_1883472.wav,STT_PC,3,76,4.624,wav16k/STT_PC0147_0247_1878848_to_1883472.wav,ཡིན་པ་ཡིན་ན་ཡང་། གྲོས་ཚོགས་ཀི་ཉམས་མྱོང་དང་འཛིན་སྐྱོང་གི་ཉམས་མྱོང་ཁ་ཁ་རེད་ཟེ།
STT_MV0667_0375_2463257_to_2469567,གཤིས་ཀ་གྱོང་པོ་དེ་ཚོར་ང་དགའ་པོ་ཡོད། ཧ་ཧ། ཨོ་ཡ།  ,gshis ka gyong po de tshor nga dga' po yod/_ha ha/_o ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0667_0375_2463257_to_2469567.wav,STT_MV,3,48,6.31,wav16k/STT_MV0667_0375_2463257_to_2469567.wav,གཤིས་ཀ་གྱོང་པོ་དེ་ཚོ་ང་དགའ་པོ་ཡོད། ཧེ་ཧའ
STT_MV0060_0272_1882620_to_1887258,ཕེབས་བྱམས་བརྒྱད་འགྱོགས་སྒང་ལ་མིང་དོན་མཚུངས་པའི་བསུས་ན་ད་ག་མ་རེད་པེ།  ,phebs byams brgyad 'gyogs sgang la ming don mtshungs pa'i bsus na da ga ma red pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0272_1882620_to_1887258.wav,STT_MV,3,69,4.638,wav16k/STT_MV0060_0272_1882620_to_1887258.wav,ཕེབས་བྱམས་རྒྱས་སགྱོགས་སྒང་ལ་མིང་དོན་བཚུངས་པས་བསུས་ན་ད་ག་མ་རེད་པེ།
STT_MV0060_0274_1891338_to_1897861,ཡིན་ནས་ཨ་ཅག་ལགས་ཀིས་ཁས་མ་ལེན་ན་ག་འདྲ་གནང་ག ཨ་ཙི། དེ་ཁྱེད་རང་ཐུགས་འཁྲལ་མ་གནང་།  ,yin nas a cag lags kis khas ma len na ga 'dra gnang ga_a tsi/_de khyed rang thugs 'khral ma gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0274_1891338_to_1897861.wav,STT_MV,3,79,6.523,wav16k/STT_MV0060_0274_1891338_to_1897861.wav,ཡིན་ནས་ཨ་ཅག་ལགས་ཀིས་ཁས་མ་ལེན་ག་འདྲས་གནང་ག ཨ་ཙི། འདིར་ཁྱེད་རང་ཐུགས་ཁྲལ་མ་གནང་།
STT_MV0228_0161_1102826_to_1112081,འབར་གི་རེད། ཧ་ཧ་ཧ། ཡ། པ་ལགས། པ་ལགས། འདི། དོན་དག་དེ་ཉེན་ཁ་ཆེ་མདོག་ཁ་བོ་ཞིག་འདུག་ག ཨ་ཅག་ཝང་ལགས། ཚོང་ཆེན་པོ་ག་རེ་བསྐྱོན་གི་ཡོད་རེད་ལགས།  ,'bar gi red/_ha ha ha/_ya/_pa lags/_pa lags/_'di/_don dag de nyen kha che mdog kha bo zhig 'dug ga_a cag wang lags/_tshong chen po ga re bskyon gi yod red lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0228_0161_1102826_to_1112081.wav,STT_MV,3,134,9.255,wav16k/STT_MV0228_0161_1102826_to_1112081.wav,འབར་པ་རེད་ད། ཧ་ཧ་ཧ། པ་ལགས། པ་ལགས། འདི་དོན་དག་དེ་ཉེན་ཁ་ཆེ་མདོག་ཁ་པོ་གཅིག་འདུག་ག ཨ།ཨ་ཅག་ཝང་ལགས་ཚོང་ཆེན་པོ་ག་རེ་སྐྱོན་གི་ཡོད་རེད་ལ།
STT_MV0462_0246_1903629_to_1913628,ཆགས་ན་བསམ་པ་མ་གཏོགས། མཁས་པ་ཆགས་པའི་རེ་བ་བྱེད་ཀི་མེད། དེ་ག་རེ་རེད།  ,chags na bsam pa ma gtogs/_mkhas pa chags pa'i re ba byed ki med/_de ga re red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0462_0246_1903629_to_1913628.wav,STT_MV,3,67,9.999,wav16k/STT_MV0462_0246_1903629_to_1913628.wav,ཆགས་ན་བསམས་པས་མ་གཏོགས། མཁས་པོ་ཆགས་པའི་རེ་བ་བྱེད་ཀི་མིན། འདི་ག་རེ་རེད།
STT_MV0671_0007_137587_to_146529,གཉིད་རྒྱལ་འདི་ཡིན་ན་རྟག་པར་ར་གཞི་སྐད་བཏང་ན་མ་གཏོགས་ལབས་ཀི་མ་རེད།  ,gnyid rgyal 'di yin na rtag par ra gzhi skad btang na ma gtogs labs ki ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0671_0007_137587_to_146529.wav,STT_MV,3,66,8.942,wav16k/STT_MV0671_0007_137587_to_146529.wav,ཉིས་བརྒྱན་འདི་ཡིན་ན་རྟག་པར་ར་ཞིག་སྐད་བཏང་ན་མ་གཏོགས་ལངས་ཀི་མ་རེད་
STT_MV0060_0148_1051585_to_1059418,སྙིང་ནད་རེད་ཤག ལ། ངའི་གསོལ་སྨན་འདི་གས་ཀིས་རླུང་བསང་བཀག་པས་མ་གཏོགས་སྙུང་གཞི་བཅོས་ཐུབ་ཀི་མ་རེད།  ,snying nad red shag_la/_nga'i gsol sman 'di gas kis rlung bsang bkag pas ma gtogs snyung gzhi bcos thub ki ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0148_1051585_to_1059418.wav,STT_MV,3,95,7.833,wav16k/STT_MV0060_0148_1051585_to_1059418.wav,སྙིང་ནད་རེད་ཤག ལགས། ངའི་གསོལ་སྨན་འདེ་གས་ཀིས་རླུང་བསང་བཀག་པས་མ་གཏོགས་སྙུང་གཞི་བཅོས་ཐུབ་ཀི་མ་རེད།
STT_MV0060_0262_1825279_to_1827526,ང་བསམ་བློ་གཏོང་བཅུག་རོགས་གནང་།  ,nga bsam blo gtong bcug rogs gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0262_1825279_to_1827526.wav,STT_MV,3,32,2.247,wav16k/STT_MV0060_0262_1825279_to_1827526.wav,ང་བསམ་བློ་གཏང་བཅུག་རོགས་གནང་།
STT_MV0060_0260_1815842_to_1820061,བྱས་ན་ངས་བཀའ་འདྲི་ཞུ་དགོས། ཁྱེད་རང་ཁོང་ལ་དགའ་ཡོད།  ,byas na ngas bka' 'dri zhu dgos/_khyed rang khong la dga' yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0260_1815842_to_1820061.wav,STT_MV,3,51,4.219,wav16k/STT_MV0060_0260_1815842_to_1820061.wav,བྱས་ན་ངས་བཀའ་འདྲི་ཞུ་དགོས། ཁྱེད་རང་ཁོང་ལ་དགའ་ཡོད།
